"","Year","Team","ThreeOrTwo","FGA"
"159",2001,"Houston Rockets","THREEPA",17.2
"160",2001,"Utah Jazz","THREEPA",10.4
"161",2001,"Denver Nuggets","THREEPA",17.6
"162",2001,"San Antonio Spurs","THREEPA",13.3
"163",2001,"Detroit Pistons","THREEPA",13.6
"164",2001,"Portland Trail Blazers","THREEPA",12.9
"165",2001,"Philadelphia 76ers","THREEPA",9.8
"166",2001,"Boston Celtics","THREEPA",19.9
"167",2001,"Phoenix Suns","THREEPA",12.9
"168",2001,"Washington Wizards","THREEPA",10.3
"169",2001,"Indiana Pacers","THREEPA",14.1
"170",2001,"Golden State Warriors","THREEPA",11.8
"171",2001,"Los Angeles Clippers","THREEPA",13
"172",2001,"Cleveland Cavaliers","THREEPA",8
"173",2001,"New Jersey Nets","THREEPA",13.2
"174",2001,"Charlotte Hornets","THREEPA",12
"175",2001,"Vancouver Grizzlies","THREEPA",11.5
"176",2001,"Atlanta Hawks","THREEPA",11.4
"177",2001,"Miami Heat","THREEPA",16.9
"178",2001,"New York Knicks","THREEPA",13.6
"179",2001,"Chicago Bulls","THREEPA",11.6
"180",2001,"League Average","THREEPA",13.7
"181",2002,"Dallas Mavericks","THREEPA",20.1
"182",2002,"Sacramento Kings","THREEPA",14.1
"183",2002,"Los Angeles Lakers","THREEPA",17.5
"184",2002,"Orlando Magic","THREEPA",20.2
"185",2002,"Minnesota Timberwolves","THREEPA",12.8
"186",2002,"Seattle SuperSonics","THREEPA",15.8
"187",2002,"Golden State Warriors","THREEPA",12.1
"188",2002,"Milwaukee Bucks","THREEPA",19.3
"189",2002,"Indiana Pacers","THREEPA",14.6
"190",2002,"San Antonio Spurs","THREEPA",14.8
"191",2002,"Portland Trail Blazers","THREEPA",16.1
"192",2002,"Boston Celtics","THREEPA",23.7
"193",2002,"New Jersey Nets","THREEPA",14.6
"194",2002,"Utah Jazz","THREEPA",10.3
"195",2002,"Los Angeles Clippers","THREEPA",14
"196",2002,"Cleveland Cavaliers","THREEPA",12.5
"197",2002,"Phoenix Suns","THREEPA",13.4
"198",2002,"Detroit Pistons","THREEPA",18.4
"199",2002,"Atlanta Hawks","THREEPA",14.6
"200",2002,"Charlotte Hornets","THREEPA",12.1
"201",2002,"Washington Wizards","THREEPA",9.6
"202",2002,"Houston Rockets","THREEPA",18
"203",2002,"Denver Nuggets","THREEPA",15.7
"204",2002,"New York Knicks","THREEPA",16.4
"205",2002,"Toronto Raptors","THREEPA",13.5
"206",2002,"Philadelphia 76ers","THREEPA",8.7
"207",2002,"Memphis Grizzlies","THREEPA",13.4
"208",2002,"Chicago Bulls","THREEPA",10.6
"209",2002,"Miami Heat","THREEPA",11
"210",2002,"League Average","THREEPA",14.7
"211",2003,"Dallas Mavericks","THREEPA",20.3
"212",2003,"Golden State Warriors","THREEPA",15.1
"213",2003,"Sacramento Kings","THREEPA",15.7
"214",2003,"Los Angeles Lakers","THREEPA",16.7
"215",2003,"Milwaukee Bucks","THREEPA",18.6
"216",2003,"Orlando Magic","THREEPA",19.4
"217",2003,"Minnesota Timberwolves","THREEPA",9.8
"218",2003,"Memphis Grizzlies","THREEPA",15.6
"219",2003,"Philadelphia 76ers","THREEPA",9.6
"220",2003,"Indiana Pacers","THREEPA",13.6
"221",2003,"New York Knicks","THREEPA",19.3
"222",2003,"San Antonio Spurs","THREEPA",15.5
"223",2003,"Phoenix Suns","THREEPA",14
"224",2003,"New Jersey Nets","THREEPA",12.7
"225",2003,"Portland Trail Blazers","THREEPA",14
"226",2003,"Chicago Bulls","THREEPA",12.2
"227",2003,"Utah Jazz","THREEPA",7.8
"228",2003,"Atlanta Hawks","THREEPA",13.9
"229",2003,"New Orleans Hornets","THREEPA",13.1
"230",2003,"Los Angeles Clippers","THREEPA",14.4
"231",2003,"Houston Rockets","THREEPA",15.5
"232",2003,"Boston Celtics","THREEPA",26.3
"233",2003,"Seattle SuperSonics","THREEPA",15.7
"234",2003,"Washington Wizards","THREEPA",9.9
"235",2003,"Cleveland Cavaliers","THREEPA",10.9
"236",2003,"Detroit Pistons","THREEPA",18.1
"237",2003,"Toronto Raptors","THREEPA",14.5
"238",2003,"Miami Heat","THREEPA",13.4
"239",2003,"Denver Nuggets","THREEPA",10
"240",2003,"League Average","THREEPA",14.7
"241",2004,"Dallas Mavericks","THREEPA",17.8
"242",2004,"Sacramento Kings","THREEPA",18.3
"243",2004,"Los Angeles Lakers","THREEPA",13.6
"244",2004,"Milwaukee Bucks","THREEPA",14
"245",2004,"Denver Nuggets","THREEPA",12
"246",2004,"Seattle SuperSonics","THREEPA",23.6
"247",2004,"Memphis Grizzlies","THREEPA",16
"248",2004,"Boston Celtics","THREEPA",19.5
